aX,aY,aZ,gX,gY,gZ
-0.876,-0.219,-2.128,-240.479,81.543,10.010
-0.319,0.008,-2.543,-262.390,117.737,44.800
0.133,0.535,-2.752,-263.550,114.685,92.896
0.315,1.210,-2.655,-224.731,77.515,144.165
0.224,1.723,-2.353,-134.827,23.193,189.270
-0.004,1.993,-1.911,-14.832,-30.090,220.642
-0.211,2.037,-1.496,103.271,-69.885,233.337
-0.335,1.915,-1.174,197.571,-86.609,226.501
-0.402,1.610,-0.883,250.671,-70.435,199.280
-0.405,1.184,-0.607,265.686,-35.522,147.522
-0.300,0.687,-0.340,249.817,-0.244,78.491
-0.173,0.257,-0.245,202.576,23.376,10.376
-0.007,-0.050,-0.329,132.812,34.668,-38.879
0.167,-0.207,-0.474,56.580,35.278,-67.871
0.294,-0.261,-0.603,-11.169,28.259,-81.177
0.358,-0.233,-0.719,-61.829,18.982,-81.116
0.385,-0.140,-0.813,-92.224,12.451,-70.862
0.389,0.002,-0.900,-102.295,10.437,-55.298
0.384,0.161,-1.016,-96.252,13.428,-38.391
0.391,0.295,-1.114,-77.332,18.066,-22.522
0.411,0.385,-1.173,-50.659,22.400,-8.606
0.416,0.420,-1.204,-21.729,25.513,3.052
0.426,0.423,-1.196,4.700,26.733,13.916
0.423,0.392,-1.173,26.550,25.146,22.705
0.407,0.338,-1.138,39.917,21.362,26.733
0.380,0.272,-1.095,42.908,18.982,25.024
0.359,0.227,-1.055,36.255,18.738,19.958
0.353,0.202,-1.000,22.827,19.287,13.306
0.352,0.201,-0.954,6.897,18.555,6.592
0.354,0.223,-0.933,-8.118,16.418,0.793
0.345,0.258,-0.945,-19.653,15.442,-2.136
0.331,0.298,-0.982,-25.146,15.381,-2.930
0.330,0.318,-1.011,-24.658,16.479,-2.808
0.330,0.320,-1.021,-19.958,18.677,-2.686
0.330,0.311,-1.034,-15.076,20.325,-2.136
0.330,0.317,-1.056,-10.925,21.240,-1.526
0.350,0.308,-1.073,-8.240,20.874,-1.648
0.373,0.292,-1.084,-7.385,18.555,-2.686
0.381,0.272,-1.087,-9.338,14.282,-3.906
0.383,0.268,-1.088,-13.367,8.972,-4.639
0.372,0.268,-1.081,-17.395,4.028,-5.859
0.355,0.273,-1.055,-18.127,0.366,-6.531
0.341,0.271,-1.024,-15.686,-1.587,-5.432
0.328,0.268,-1.001,-11.353,-2.197,-3.235
0.315,0.264,-0.987,-6.470,-1.465,-0.732
0.303,0.268,-0.984,-1.282,0.244,2.136
0.300,0.268,-0.983,3.296,1.831,4.028
0.299,0.254,-0.975,7.019,2.563,4.272
0.298,0.232,-0.968,9.277,2.441,3.723
0.303,0.212,-0.948,9.399,2.197,3.662
