aX,aY,aZ,gX,gY,gZ
0.251,0.095,-0.039,29.419,-6.042,34.668
0.196,0.139,-0.107,23.010,-0.977,30.518
0.193,0.219,-0.240,16.968,6.226,26.245
0.212,0.295,-0.352,17.700,7.080,20.813
0.224,0.350,-0.474,22.949,-2.625,10.437
0.208,0.371,-0.499,27.832,-22.095,-7.568
0.166,0.300,-0.520,30.823,-46.265,-33.203
0.024,0.141,-0.395,38.879,-78.918,-54.260
-0.089,-0.034,-0.247,44.312,-110.779,-59.631
-0.150,-0.187,-0.137,39.734,-135.559,-44.861
-0.143,-0.312,0.019,26.306,-153.625,-12.024
-0.099,-0.328,0.217,-0.427,-166.260,30.884
-0.111,-0.139,0.370,-45.898,-167.603,73.914
-0.109,0.271,0.479,-100.708,-153.809,104.919
-0.018,0.829,0.540,-150.574,-130.798,115.601
0.165,1.368,0.548,-189.270,-100.220,104.675
0.400,1.708,0.494,-207.642,-66.162,74.463
0.573,1.783,0.461,-194.641,-39.368,31.799
0.682,1.619,0.459,-147.949,-25.818,-8.667
0.739,1.230,0.527,-78.247,-27.710,-35.095
0.700,0.729,0.544,-6.531,-43.762,-45.227
0.678,0.226,0.594,48.706,-57.007,-46.997
0.701,-0.145,0.686,76.233,-56.396,-45.166
0.694,-0.331,0.726,72.327,-46.082,-37.781
0.691,-0.355,0.693,47.668,-26.978,-25.085
0.691,-0.233,0.615,17.639,-4.089,-10.193
0.698,-0.064,0.507,-3.174,17.090,1.343
0.701,0.059,0.382,-7.507,34.851,7.507
0.761,0.133,0.301,0.305,48.462,9.216
0.816,0.130,0.205,12.634,55.725,9.277
0.848,0.067,0.104,22.705,57.617,8.972
0.893,0.009,0.051,25.208,57.434,7.812
0.940,-0.026,0.014,19.043,53.650,7.324
0.967,-0.020,0.010,7.080,46.265,7.141
0.964,0.017,0.009,-6.226,38.025,6.836
0.957,0.060,0.046,-15.015,29.297,7.385
0.946,0.103,0.093,-18.921,21.912,8.606
0.945,0.140,0.117,-18.738,17.151,9.399
0.957,0.166,0.128,-13.977,13.184,10.864
0.962,0.181,0.137,-5.493,8.667,13.062
0.953,0.191,0.162,3.418,3.906,15.259
0.950,0.218,0.184,10.010,0.916,16.296
0.946,0.253,0.191,14.648,0.671,15.198
0.948,0.259,0.186,18.127,2.075,12.146
0.958,0.250,0.178,20.935,3.662,8.911
0.970,0.228,0.171,20.874,3.967,5.310
0.968,0.187,0.159,19.043,2.563,1.892
0.966,0.151,0.172,16.724,1.404,-0.061
0.956,0.122,0.182,13.000,0.305,-0.122
0.947,0.107,0.195,9.766,-0.488,1.221
0.940,0.104,0.212,7.080,-0.244,2.869
0.939,0.118,0.222,4.578,0.977,4.333
0.917,0.152,0.242,2.747,2.869,5.310
0.914,0.180,0.218,2.380,6.470,5.371
0.934,0.165,0.206,4.700,10.620,4.761
0.948,0.140,0.189,5.005,13.550,4.089
0.946,0.129,0.174,0.916,14.648,3.662
0.949,0.136,0.169,-6.042,14.709,2.869
0.951,0.156,0.168,-13.855,14.648,1.038
0.950,0.183,0.158,-18.982,14.771,-0.671
0.964,0.191,0.143,-18.494,14.587,-0.854
0.976,0.173,0.138,-13.489,13.245,-0.122
0.971,0.152,0.151,-7.568,11.414,0.977
0.966,0.143,0.158,-4.272,10.010,2.319
0.958,0.138,0.163,-2.502,9.521,3.540
0.963,0.138,0.168,-2.380,9.644,4.700
0.971,0.161,0.158,-4.456,9.888,5.493
0.974,0.195,0.145,-5.798,9.644,5.920
0.978,0.205,0.146,-4.700,7.874,5.859
0.985,0.195,0.151,-3.418,6.165,5.310
0.989,0.186,0.154,-2.625,4.944,4.578
0.984,0.183,0.154,-2.075,4.211,4.395
0.974,0.187,0.153,-0.122,3.418,4.517
0.971,0.180,0.153,2.747,2.258,5.066
0.961,0.175,0.165,5.188,1.160,5.371
0.956,0.172,0.179,5.859,0.916,5.493
0.957,0.162,0.183,5.371,1.587,4.883
0.959,0.153,0.189,3.906,3.052,4.333
0.968,0.159,0.182,1.221,4.822,4.150

2.113,1.243,-0.163,6.653,-20.874,-16.663
2.266,1.527,-0.173,14.404,-30.090,-27.466
2.253,1.694,-0.108,26.306,-42.725,-44.189
2.149,1.714,-0.014,35.522,-51.208,-62.988
2.039,1.594,0.068,35.400,-51.025,-79.468
1.889,1.393,0.151,24.109,-45.837,-90.637
1.766,1.211,0.213,1.587,-34.973,-98.999
1.672,1.049,0.205,-28.870,-21.179,-107.239
1.604,0.912,0.142,-61.157,-10.071,-115.662
1.528,0.810,0.092,-86.487,-8.667,-124.451
1.463,0.768,0.098,-100.708,-17.090,-130.310
1.274,0.649,0.092,-103.271,-29.785,-133.118
1.225,0.555,0.156,-96.313,-35.461,-136.414
