aX,aY,aZ,gX,gY,gZ
-1.884,0.101,1.248,-24.780,-340.027,-135.620
-2.050,-0.089,1.485,55.298,-357.666,-115.051
-2.030,-0.421,1.695,107.971,-352.234,-103.577
-1.903,-0.693,1.900,109.497,-325.256,-97.229
-1.742,-0.820,1.967,65.186,-283.203,-88.013
-1.579,-0.745,1.855,-1.404,-232.605,-73.853
-1.407,-0.555,1.600,-64.941,-182.251,-57.434
-1.222,-0.319,1.335,-107.971,-145.081,-41.260
-1.048,-0.063,1.104,-126.465,-127.502,-27.100
-0.950,0.177,0.962,-124.573,-127.075,-17.334
-0.951,0.344,0.944,-106.567,-136.658,-14.282
-0.979,0.469,0.969,-77.393,-148.621,-15.503
-1.058,0.373,1.044,-41.565,-156.128,-15.198
-1.050,0.265,1.114,-12.329,-155.090,-21.545
-1.051,0.078,1.139,-2.686,-146.973,-23.804
-1.034,-0.051,1.110,-8.972,-136.108,-23.010
-0.978,-0.072,1.036,-29.419,-121.338,-18.860
-0.927,0.032,0.912,-55.664,-106.140,-13.550
-0.921,0.137,0.803,-77.515,-97.900,-7.019
-0.892,0.271,0.734,-90.759,-97.778,-4.639
-0.876,0.417,0.734,-96.069,-101.746,-6.775
-0.940,0.516,0.821,-87.708,-114.685,-10.498
-1.015,0.556,0.974,-67.322,-126.587,-15.320
-1.071,0.514,1.131,-41.931,-130.493,-19.653
-1.123,0.350,1.283,-16.479,-125.305,-22.888
-1.125,0.168,1.393,-1.648,-107.727,-22.949
-1.086,0.043,1.404,-4.211,-80.322,-18.494
-1.026,0.013,1.317,-18.921,-50.537,-11.719
-0.945,0.084,1.171,-38.513,-23.987,-4.700
-0.890,0.208,1.031,-53.040,-6.531,-0.366
-0.873,0.328,0.913,-56.274,4.578,1.831
-0.862,0.411,0.805,-46.082,10.559,4.028
-0.843,0.436,0.737,-29.968,11.963,4.517
-0.836,0.422,0.697,-16.357,10.376,1.526
-0.840,0.358,0.685,-5.676,6.653,-2.014
-0.851,0.288,0.694,1.648,3.784,-4.700
-0.868,0.215,0.700,5.432,2.625,-5.554
-0.874,0.175,0.698,5.798,4.028,-4.150
-0.878,0.154,0.682,2.319,6.775,-1.587
-0.869,0.195,0.662,-4.395,11.047,-0.549
-0.864,0.253,0.633,-10.010,14.832,-0.183
-0.863,0.292,0.609,-9.216,17.212,-0.305
-0.855,0.275,0.606,-3.113,18.921,-0.183
-0.850,0.239,0.597,4.700,19.653,-0.244
-0.849,0.189,0.595,10.925,21.362,0.793
-0.849,0.148,0.592,13.550,24.353,2.502
-0.844,0.130,0.578,13.245,28.076,4.456
-0.832,0.138,0.544,10.559,31.677,6.897
-0.811,0.154,0.508,7.019,34.973,8.850
-0.797,0.194,0.474,2.808,36.499,10.254
-0.783,0.226,0.456,1.404,35.034,11.292
-0.775,0.253,0.448,2.197,30.579,10.437
-0.770,0.267,0.452,3.113,24.475,7.202
-0.779,0.267,0.473,4.150,18.127,3.174
-0.807,0.239,0.506,7.263,13.672,0.122
-0.821,0.197,0.533,10.620,12.573,-0.366
-0.840,0.171,0.547,11.169,15.320,0.366
-0.828,0.170,0.532,7.751,19.897,2.319
-0.808,0.200,0.510,3.418,23.499,4.456
-0.802,0.234,0.493,1.465,25.391,5.676
-0.797,0.265,0.486,2.075,25.940,6.348
-0.795,0.277,0.480,4.639,25.818,6.592
-0.789,0.277,0.465,7.568,24.902,5.798
-0.769,0.267,0.444,7.202,23.682,4.028
-0.757,0.259,0.432,5.310,21.423,1.953
-0.766,0.266,0.438,3.418,18.311,0.671
-0.773,0.272,0.442,2.625,15.991,-0.061
-0.768,0.266,0.450,3.723,14.099,-0.366
-0.760,0.261,0.464,5.310,12.756,0.122
-0.758,0.258,0.477,5.554,11.414,0.549
-0.764,0.250,0.497,5.493,9.644,0.671
-0.772,0.241,0.517,4.333,8.789,0.610
-0.777,0.221,0.527,2.563,9.277,0.610
-0.767,0.218,0.521,0.244,11.047,1.282
-0.756,0.232,0.511,-3.113,13.000,2.930
-0.760,0.247,0.500,-5.676,14.099,4.333
-0.747,0.280,0.494,-7.202,14.099,4.517
-0.749,0.297,0.481,-7.812,13.733,3.723
-0.744,0.319,0.467,-6.775,14.221,3.601
